a surprising thing|jambo la ajabu
as it was for their men and women of the past, the women of Zanzibar today continue to meet and dance from time to time|kama ilivyokuwa kwa mababu na mabibi zao wa kale, wanawake wa Zanzibar leo hii bado hukutana na kucheza kwa mara kwa mara (<a href="http://home.globalfrontiers.com/zanzibar/wanawake_wa_zanzibar.htm" target="_blank">Wanawake wa Zanzibar</a>)
someone else wore <i>kangas</i> with [pictures of] cashew apples, they made her look good.|fulani mwengine alivaa kanga za bibo, zimempendeza [Ya]
His trousers had been cut to adopt the style of a beachcomber.|Suruali yake ilikuwa imekatwa kuchuka mtindo wa bichi koma [Balisidya, Masomo 343]
I am compelled to study|Inabidi nisome
Perhaps the war will intensify between them and force the OAU to look for firm ways to end this quarrel.|Huenda vita vitaimarika kati yao na kubidi OAU kutafuta njia mathubuti za kumaliza mzozo huo [Masomo 326]
he had to go|imembidi kwenda
I am obliged to study|Inabidi nisome
I'm under pressure to study|Inabidi nisome
Regina farmed cotton assiduously|Regina alilima pamba kwa bidii [Kez]
the Holy Virgin Mary|Maria Bikira Mtakatifu [Kez]
without concern about the difficulties|bila ya kujali shida [Nyerere, Masomo 277]
it was over and done beyond her control|(mambo) yametendeka na yamekwisha bila ya hiari yake [Sul]
he struck him without reason.|alimpiga bilashi
You are upset for no reason.|Bilashi mwahangaika [Amana, Masomo 406]
take soundings|tia [piga] bildi
he struck him for no reason|alimpiga bilashi
There were receipts of payments and bills for debts|Zilikuwapo stakabadhi za malipo na bili za madeni [Masomo 175]
he is a fanatical football fan.|ana bilisi ya mpira
life-insurance|bima ya maisha
organize a lottery|fanya bima
Salim son of Mustafa|Salim bin Mustafa
Tell me, /how do you endure/ the pain of being separated from/your fellow human beings?|Niambie,/ wavumulia vipi/maumivu ya kutenganishwa/ na binadamu wenzako?  [Alamin Mazrui "Barua ya Mpenzi"49]
to drive oneself is freedom|kujiendesha binafsi ni uhuru
personal hygiene [Masomo 126]|usafi wa binafsi
I've come here on my own private business|nimefika hapa kwa matembezi yangu binafsi
I built this house by myself|nilijenga nyumba hii binafsi
It is clear then that a poet is an expert in language.|Ni dhahiri basi kuwa mshairi ni bingwa wa lugha [Masomo 394]
Her father had arranged with a family that he would marry his daughter to any youth from that family [Masomo 347]|Babaye alikwisha panga na familia moja kuwa angemuoza bintiye kwa kijana ye yote wa familia hiyo [Balisidya, Masomo 347]
Belgian Congo|Kongo Birigiji
wind thread on a ball.|biringa uzi katika kidonge.
The wife <b>quarrel</b>led with her husband, who was late.|Mke ali<b>bisha</b> na mumewe, ambaye alichelewa.
Quarreling is pointless.|Hai mana kubishana [haina maana kubishana] [Amana, Masomo 408]
the child doesn't venture to argue with his mother|mtoto huyu hadiriki kumbishia mama yake [Muk]
Now you seem to have been blabbered at with completely nonsensical words.|Sasa waonekana unabobokwa na maneno yasiyokuwa na mbele wala nyuma [Chacha, Masomo 379]
national board|bodi ya taifa
"fortify, enclose, fence in".|fanya [tia] boma
plumber|fundi bomba
she takes a bucket and hurries to the pump outside|anachukua ndoo na kuharakisha bombani nje [Muk]
viral fever|homa ya bombom
viral fever|homa ya bombom
viral fever|homa ya bombom
short, baggy trousers|suruali bombo
carve figures/ornaments.|kata mabombwe
demolish a wall|bomoa ukuta
Oh!  Aziza has come to destroy me!|Lo!  Aziza kajua kunibomoa [Abd]
tear down all the doors and windows|bomoeni milango na madirisha yote [Mun]
a veranda on the left has fallen down|kibaraza kimoja cha kushoto kimebomoka [Sul]
atomic bomb|bomb la atomiki
river bed|bonde la mto
In his brain Mark heard a voice|Katika bongo lake Marko alisikia sauti [Masomo 241]
when bananas feel soft they are ripe.|ndizi zikibopa zimeiva.
blessings are better than wealth (proverb)|radhi ni bora kuliko mali (methali)
the best thing is good health|bora afya [Rec]
the builder fell off the roof of the house.|mjenzi ameporomoka kwenye paa la nyumba.
The bosses don't reject you.|Mabosi hawawaizi [Amana, Masomo 407]
one who stores half grown fruit eats it rotten (proverb)|mvumbika changa hula mbovu (methali)
unreliable person|mtu mbovu
to brush|piga brashi
put on the brake|tia [piga] breki
landlord; supervisor of a shamba; [sometimes used in a derogatory way to refer to the former] colonial landowners.|bwana shamba
"landlord, supervisor of a shamba; [sometimes used in a derogatory way to refer to the former] colonial landowners".|bwana shamba
sir [showing a higher degree of respect than bwana alone, but sometimes humorous or contemptuous, especially when used of women]|buana mkubwa
burst out with a flood of words|bubujika maneno
the water gushes out|maji yanabubujika
the people were pushing and shoving [each other]|watu walibuburushana
the people were pushing and shoving [each other]|watu walibuburushana
she saw she had no alternative to pronouncing the word that would call her companion|aliona hana budi kutamka neno lile alilomwitia mwenzake [Sul]
All this time I was thinking that you have a brain inside of that skull of yours, but it's just useless liquid [Chacha, Masomo 378]|Muda wote huu nikidhani kuwa una ubongo ndani ya hilo bufuu lako, kumbe ni maji matupu [Chacha, Masomo 378]
skull|bufuu la kichwa
burst out with a flood of words|buguika maneno
the water gushes out|maji yanabuguika
recovery of health after an illness|buheri wa afya
children's game [a kind of hide and seek]|mchezo wa bui
The insects that are eaten by bats include scorpions, butterflys, and spiders.|Wadudu ambao huliwa na popo ni nge, vipepeo, buibui [Masomo 31]
embroidered white cap|kofia ya bulibuli
swarm of bees|bumba la nyuki
pack of cigarettes|bumba la sigara
be perplexed/dismayed|shikwa na bumbuazi
a bundle of banknotes|bunda la noti
a package of tobacco|bunda la tumbaku
Maina and her companions each took a .303 caliber rifle|Maina na wenzake walichukua kila mmoja bunduki ya .303 [Masomo, 59]
"Bengal rice, manioc".|mpunga [muhogo] wa Bungala
fabricate statements|buni maneno
write a book|buni kitabu
the day when the party of TANU was founded|siku ambayo chama cha TANU kilipobuniwa [Masomo 392]
l am like a globefish, I have a clever head (to overcome all difficulties) (proverb)|mimi bunju, akili yangu kichwani (methali)
The mason wasp has filled its nest with caterpillars.|Bunzi amejaza tundu yake na mabungu.
skull|bupu la kichwa
to brush|piga burashi
the shopkeeper gave me three tomatoes for free|mwenyeduka alinipa nyanya tatu bure
all her efforts were in vain|jitihada zake zote [...] zilikuwa bure [Ng]
work for nothing|fanya kazi buri
say farewell|peana buriani
mother is fanning the fire|mama anaburuta moto
mother is fanning the fire|mama anaburuta moto
words that would be expected to come from an old man with wisdom|maneno ambayo yangetegemewa kutoka kwa mzee mwenye busara [Muk]
Mother has a flower and vegetable garden.|Mama ana bustani ya maua na mboga.
he went to the car to take out the tinned food in the boot|alikwenda garini na kutoa vyakula vya kibati katika buti [Moh]
a dull knife|kisu butu
an obtuse-angled triangle|pembetatu butu
woodworm|buu mbao
"free the heart , be conforted".|bwaga moyo
ladies and gentlemen|mabibi na mabwana
big man|bwana mkubwa
A small pool of blood surrounded her|Bwawa dogo la damu lilimzunguka [Masomo 168]
people see me as stupid|watu wananiona bwege [Ma]
he returned to the dormitory|alirudi bwenini [Muk]
an entire chest of valuable clothes that she left at home|bweta zima la nguo za thamani alizoziacha kwao [Sul]
I am sad, or I weep for myself, I ought to be afraid|najisikitikia, au najililia hasa, niche [Abd]
yearning for when it should be dawn in the city|kutamani lini kuche aende mjini [Moh]
the fear of God is not wearing a white turban (proverb)|kucha Mungu si kilemba cheupe (methali)
it is growing light (day is breaking)|kunakucha
as a person who respects God [Masomo, 88]|kama kiongozi aliyecha Mungu [Masomo, 88]
tissue paper|karatasi ya chachi
tissue paper|karatasi ya chachi
sour|chachu-a-chachu
don't play with politics, politics is a dirty game|usicheze na siasa, siasa ni mchezo mchafu [<a href="http://www.africanhiphop.com/index.php?module=subjects&func=viewpage&pageid=13" target="_blank">II Proud</a>]
to excite him and stir up his desire|kumchafua na kumchokozea ashiki [Mt]
if the voter spoils her ballot she can ask for another|mpiga kura akichafua karatasi yake anaweza kuomba nyingine [Masomo, 101]
the sea was very rough|bahari ilichafuka sana
if her vote is messed up, it will not be counted|kura yake ikichafuka haitahesabiwa [Masomo, 101]
her mind was troubled after that quarrel|akili yake [...] ilikuwa imechafuka baada ya ugomvi ule [Sul]
Zakaria got upset, [and] Rosa was called at once|Zakaria alichafuka, Rosa aliitwa mara moja [Kez]
international crisis|chafuko wa kilimwengu
If during the voting period irregularities take place in the voting place [Masomo, 103]|Iwapo wakati wa upigaji kura yanatokea machafuko kituoni [Masomo, 103]
to sneeze|piga [enda] chafya
elect by ballot|chagua kwa kura
she made <b>tea</b> and coffee for her guests|aliwachemshia <b>chai</b> na kahawa kwa wageni wake.
There was a red sofa set that was worn out|Ilikuwapo seti nyekundu ya sofa ambayo ilichakaa [Masomo 1174]
gnash the teeth|chakacha menoni
he was drunk|alikuwa chakari
his/her name|jina lake
his chair|kiti chake
his/her name|jina lake
I will come to your place|Nitakuja kwako
your fruit|tunda lako
peck or pick up rubbish|chakua matakataka
if you are hungry, eat a lot of food|ukisikia njaa, kula chakula kingi
lie on one's back|lala chali
a trap without bait catches nothing (proverb)|mtego bila chambo haunasi (methali)
he planned to rape her using the lure of money|alitegemea kumnajisi kwa chambo cha fedha [Mun]
the fisherman cleaned the fish for her|mvuvi alimchambulia samaki
she quickly combed her hair|alichana nywele haraka [Kez]
he removed a book and pen from his coat pocket, pulled off a page and wrote out a divorce statement|akatoa kitabu na kalamu kwenye mfuko wa koti, akachana karatasi na kuandika talaka [Moh]
he began to tear the clothes he was wearing|alianza kuzichana nguo alizovaa [Sul]
stick together [be inseparable like fingers or toes]|chanda na kidole
stick together [be inseparable like fingers or toes]|chanda na kidole
my wife wasn't an adult when it came to some things, but she wasn't immature about many|mke wangu hakuwa mpevu wa mambo, bali hakuwa mchanga wa mengi [Abd]
he heard the voice of an undeveloped child|alisikia sauti ya kitoto kichanga [Moh]
I am a very young child|miye mtoto mchanga [Ma]
new moon|mwezi mchanga
they contributed cows, corn, beans, money|walichanga ng'ombe, mahindi, maharage, fedha [Nyerere, Masomo 275]
shuffle cards|changa karata
She picks up the glass.  She sniffs it and smells the strong alcohol smell of home-brewed grain alcohol.|"Anaichukua bilauri.  Anainusa na kusikia harufu ya pombe kali ya chang'aa [Chacha, Masomo 375]".
We <b>cheered up</b> the baby who was crying.|Tuli<b>changamsha</b> mtoto mchanga aliyelia.
jumble words|changanya maneno
break the egg slowly and pour it in the pan without mixing the white and the egg yolk|vunja yai polepole na kulimimina kwenye kikaango polepole bila kuchanganya ute na kiini cha yai [Masomo 16]
that place blended natural beauty with desolation|mahali pale palichanganya uzuri wa maumbile na ukiwa [Sul]
her desire was mixed with the bitterness of birth|hamu ya[ke] ilichanganyika na uchungu wa mzazi [Sul]
the fishermen fished for snapper|wavuvi walivua changu
my child|mtoto wangu
white overalls that were in rags|ovaroli jeupe lililochanika chanika [Ma]
iron grillwork|chanja ya chuma
chop up firewood|chanja kuni
vaccinate against smallpox|chanja ndui
splitting firewood awaits us|kuchanja kuni kunatusubiri [Alamin Mazrui, "Bega kwa Bega" 4]
to gather conch, oysters, shellfish, large crabs, small crabs, or crabs hiding in the sand|kuokota kombe, chaza, makome, kaa, chanje au fukulile [Moh]
he combed his hair|nywele zake kazichanua [Ma]
another bouquet of roses bent down with sadness, half open|fumbu jingine la waridi [...] limeinama kwa masikitiko, nusu limechanua [Sul]
Women are the cause|Wake ndiyo chanzi [Amana, Masomo 405]
numbness of the teeth [produced by an anesthetic]|chanzi la meno
a yearning of many days for which he thought a motive had become available|ashiki ya siku nyingi ambayo sasa alidhani chanzo chake kimepatikana [Muk]
their work|kazi zao
their countries.|nchi chao
he hadn't pulled out even a banknote to pay for his children's school fees|alikuwa hajatoa hata chapa kuwalipia watoto ada ya shule [Kez]
yeah, I should pick up a stick and beat you all|ebu, nichukue fimbo niwachape [Masomo 416]
they themselves gave me permission to print these letters|wenyewe wameniruhusu kuzichapa barua hizi [Ma]
sew with the sewing machine|shona kwa charahani
a single finger kills no louse (proverb)|kidole kimoja hakivunji chawa (methali)
there are oysters under the sea|chini ya bahari kunapatikana chaza
he was happy to see the sparks fly and to hear the fire that roared|alifurahi kuona macheche yakiruka na kuusikia moto unavyonguruma [Ya]
watery manioc|muhoho mchege
he is bowlegged|ana chege la miguu
then he laughed a little|halafu akacheka kidogo [Sul]
when her children mocked her she would tell them...|watoto wake wakimcheka huwambia... [Kez]
he sifted the flour|alichekecha unga
a pretty face made him smile|sura nzuri [...] ikamfanya achekelee [Mt]
he is an amusing person|ni mtu mchekeshaji
the child decided well, however her mother feared for her|mtoto alishauri vyema, bali mama-mtu alichelea [Moh]
he should not try to be late a second time|asijaribu kuchelewa mara ya pili [Sul]
without waiting for her or taking any of her girlfriends, who could delay her|bila kumngoja wala kumchukua shogaye yeyote, ambaye angeweza kumchelewesha [Muk]
Lulu was playing with bread crumbs|Lulu alikuwa akichezea chembe za mkate [Ya]
granulated sugar|sukari chembechembe
chop firewood|chenga kuni
flour that is not well ground|unga wa chengachenga
[small] change|fedha ya chenji
your things|vitu vyako
first-class passenger|abiria wa cheo cha kwanza
he was hired by the government as Executive Officer since 26 March, 1973, and from there he was promoted until he arrived at the position he held prior to this appointment|aliajiriwa serikalini kama Afisa Tawala tangu Machi 26 mwaka 1973 na tokea hapo alipanda vyeo hadi kufikia cheo alichokuwa nacho kabla ya uteuzi huu (<a href="http://209.183.227.156/ipp/alasiri/2005/01/19/30370.html" target="_blank">Alasiri</a> 28 Jan 2005)
the status and honor he was given by people made him forget where he came from|cheo na ulwa aliopewa na watu ulimsahaulisha wapi alikotoka [Moh]
